FullGeoName,FIPS,State,County,Date Detected,Strain/Type/Source,States,Counties,Totals
"VA, Matthews",51115,Virginia,Matthews,1/6/25,EA/AM H5N1 -  - ,1,1,14
"AL, Baldwin",01003,Alabama,Baldwin,2/3/25,EA H5 -  - ,1,1,6
"AL, Barbour",01005,Alabama,Barbour,1/2/25,EA H5 -  - ,0,1,12
"AL, Chambers",01017,Alabama,Chambers,11/21/22,EA/AM H5N1 -  - ,0,1,1
"AL, Clarke",01025,Alabama,Clarke,1/26/23,EA/AM H5N1 -  - ,0,1,1
"AL, Cullman",01043,Alabama,Cullman,1/4/23,EA/AM H5N1 -  - ,0,1,2
"AL, Elmore",01051,Alabama,Elmore,11/10/22,EA H5N1 -  - ,0,1,5
"AL, Jackson",01071,Alabama,Jackson,12/22/22,EA/AM H5N1 -  - ,0,1,11
"AL, Jefferson",01073,Alabama,Jefferson,8/29/24,EA/AM H5N1 -  - ,0,1,1
"AL, Lamar",01075,Alabama,Lamar,12/8/22,EA H5N1 -  - ,0,1,2
"AL, Lauderdale",01077,Alabama,Lauderdale,12/20/22,EA H5N1 -  - ,0,1,1
"AL, Lee",01081,Alabama,Lee,2/6/24,EA H5N1 -  - ,0,1,1
"AL, Limestone",01083,Alabama,Limestone,1/24/25,EA H5 -  - ,0,1,22
"AL, Madison",01089,Alabama,Madison,4/13/23,EA H5N1 -  - ,0,1,1
"AL, Marion",01093,Alabama,Marion,1/4/23,EA/AM H5N1 -  - ,0,1,1
"AL, Marshall",01095,Alabama,Marshall,8/29/24,EA H5N1 -  - ,0,1,2
"AL, Montgomery",01101,Alabama,Montgomery,11/7/22,EA/AM H5N1 -  - ,0,1,16
"AL, Morgan",01103,Alabama,Morgan,1/4/23,EA/AM H5N1 -  - ,0,1,7
"AL, Shelby",01117,Alabama,Shelby,1/3/23,EA/AM H5N1 -  - ,0,1,1
"AL, Sumter",01119,Alabama,Sumter,12/20/22,EA/AM H5N1 -  - ,0,1,2
"AL, Tallapoosa",01123,Alabama,Tallapoosa,12/20/22,EA H5N1 -  - ,0,1,2
"AL, Walker",01127,Alabama,Walker,9/3/24,EA/AM H5N1 -  - ,0,1,1
"AK, Aleutians East Borough",02013,Alaska,Aleutians East,5/15/23,EA/AM H5N1 -  - ,1,1,67
"AK, Aleutians West Ca",02016,Alaska,Aleutians West,9/4/24,EA H5N1 -  - ,0,1,18
"AK, Anchorage Muny",02020,Alaska,Anchorage,9/4/24,EA H5N1 -  - ,0,1,24
"AK, Bethel Ca",02050,Alaska,Bethel,6/14/22,EA H5N1 -  - ,0,1,13
"AK, Chugach",02063,Alaska,Chugach,6/17/22,EA/AM H5N1 -  - ,0,1,1
"AK, Dillingham Ca",02070,Alaska,Dillingham,9/15/23,EA H5N1 -  - ,0,1,18
"AK, Fairbanks North Star Borough",02090,Alaska,Fairbanks North Star,1/20/23,EA H5N1 -  - ,0,1,4
"AK, Haines Borough",02100,Alaska,Haines,11/14/24,EA/AM H5N1 -  - ,0,1,2
"AK, Juneau Cty&bor",02110,Alaska,Juneau,10/30/24,EA H5 -  - ,0,1,35
"AK, Kenai Peninsula Borough",02122,Alaska,Kenai Peninsula,8/5/22,EA H5N1 -  - ,0,1,6
"AK, Ketchikan Gateway Borough",02130,Alaska,Ketchikan Gateway,6/12/24,EA H5N1 -  - ,0,1,2
"AK, Kusilvak Ca",02158,Alaska,Kusilvak,9/15/22,EA H5N1 mixed -  - ,0,1,8
"AK, Matanuska-Susitna Borough",02170,Alaska,Matanuska-Susitna,11/16/22,EA H5N1 -  - ,0,1,153
"AK, Nome Ca",02180,Alaska,Nome,8/18/22,EA H5N1 -  - ,0,1,3
"AK, North Slope Borough",02185,Alaska,North Slope,8/3/22,EA/AM H5N1 -  - ,0,1,21
"AK, Northwest Arctic Borough",02188,Alaska,Northwest Arctic,7/18/22,EA/AM H5N1 -  - ,0,1,1
"AK, Sitka Cty&bor",02220,Alaska,Sitka,6/24/22,EA H5 -  - ,0,1,23
"AK, Southeast Fairbanks Ca",02240,Alaska,Southeast Fairbanks,9/20/22,EA/AM H5N1 -  - ,0,1,13
"AK, Valdez-Cordova Ca",02261,Alaska,Valdez-Cordova,6/8/22,EA/AM H5N1 -  - ,0,1,2
"AK, Yukon-Koyukuk Ca",02290,Alaska,Yukon-Koyukuk,9/20/22,EA/AM H5N1 -  - ,0,1,3
"AZ, Coconino",04005,Arizona,Coconino,4/24/23,EA H5N1 -  - ,1,1,20
"AZ, La Paz",04012,Arizona,La Paz,1/13/25,EA H5 -  - ,0,1,55
"AZ, Maricopa",04013,Arizona,Maricopa,12/1/22,EA/AM H5N1 -  - ,0,1,39
"AZ, Mohave",04015,Arizona,Mohave,2/6/25,EA H5 -  - ,0,1,12
"AZ, Pima",04019,Arizona,Pima,11/2/23,EA H5N1 -  - ,0,1,4
"AZ, Pinal",04021,Arizona,Pinal,12/13/24,EA H5 -  - ,0,1,9
"AZ, Yuma",04027,Arizona,Yuma,9/17/24,EA H5N1 -  - ,0,1,14
"AR, Arkansas",05001,Arkansas,Arkansas,12/23/24,EA/AM H5N1 -  - ,1,1,5
"AR, Baxter",05005,Arkansas,Baxter,12/16/22,EA/AM H5N1 -  - ,0,1,1
"AR, Benton",05007,Arkansas,Benton,11/22/23,EA H5N1 -  - ,0,1,2
"AR, Chicot",05017,Arkansas,Chicot,12/16/22,EA H5N1 -  - ,0,1,1
"AR, Clark",05019,Arkansas,Clark,5/30/23,EA H5N1 -  - ,0,1,1
"AR, Cleburne",05023,Arkansas,Cleburne,12/16/22,EA H5N1 -  - ,0,1,1
"AR, Conway",05029,Arkansas,Conway,12/9/22,EA H5N1 -  - ,0,1,1
"AR, Craighead",05031,Arkansas,Craighead,1/18/23,EA/AM H5N1 -  - ,0,1,6
"AR, Crawford",05033,Arkansas,Crawford,10/13/23,EA/AM H5N1 -  - ,0,1,1
"AR, Cross",05037,Arkansas,Cross,12/9/22,EA H5N1 -  - ,0,1,2
"AR, Desha",05041,Arkansas,Desha,12/9/22,EA H5N1 -  - ,0,1,3
"AR, Drew",05043,Arkansas,Drew,12/1/22,EA H5N1 -  - ,0,1,1
"AR, Grant",05053,Arkansas,Grant,1/18/23,EA/AM H5N1 -  - ,0,1,2
"AR, Greene",05055,Arkansas,Greene,1/18/23,EA H5N1 -  - ,0,1,5
"AR, Jackson",05067,Arkansas,Jackson,12/15/22,EA H5N1 -  - ,0,1,1
"AR, Jefferson",05069,Arkansas,Jefferson,11/21/22,EA H5N1 -  - ,0,1,2
"AR, Johnson",05071,Arkansas,Johnson,12/20/22,EA H5N1 -  - ,0,1,3
"AR, Lawrence",05075,Arkansas,Lawrence,12/1/22,EA/AM H5N1 -  - ,0,1,1
"AR, Lonoke",05085,Arkansas,Lonoke,12/5/22,EA H5N1 -  - ,0,1,11
"AR, Monroe",05095,Arkansas,Monroe,12/18/23,EA H5N1 -  - ,0,1,2
"AR, Perry",05105,Arkansas,Perry,1/18/23,EA H5N1 -  - ,0,1,2
"AR, Poinsett",05111,Arkansas,Poinsett,12/16/22,EA H5N1 -  - ,0,1,4
"AR, Pope",05115,Arkansas,Pope,12/9/22,EA H5N1 -  - ,0,1,1
"AR, Prairie",05117,Arkansas,Prairie,12/16/24,EA H5N1 -  - ,0,1,39
"AR, Pulaski",05119,Arkansas,Pulaski,10/31/22,EA/AM H5N1 -  - ,0,1,2
"AR, Randolph",05121,Arkansas,Randolph,5/30/23,EA H5N1 -  - ,0,1,1
"AR, Saline",05125,Arkansas,Saline,12/16/22,EA H5N1 -  - ,0,1,1
"AR, Union",05139,Arkansas,Union,1/18/23,EA/AM H5N1 -  - ,0,1,1
"AR, White",05145,Arkansas,White,1/18/23,EA/AM H5N1 -  - ,0,1,1
"AR, Woodruff",05147,Arkansas,Woodruff,5/30/23,EA/AM H5N1 -  - ,0,1,1
"CA, Alameda",06001,California,Alameda,9/19/24,EA/AM H5N1 -  - ,1,1,29
"CA, Amador",06005,California,Amador,12/29/22,EA/AM H5N1 -  - ,0,1,3
"CA, Butte",06007,California,Butte,8/5/22,EA H5N1 -  - ,0,1,14
"CA, Colusa",06011,California,Colusa,1/25/24,EA/AM H5 mixed -  - ,0,1,11
"CA, Contra Costa",06013,California,Contra Costa,2/2/24,EA H5N1 -  - ,0,1,18
"CA, Del Norte",06015,California,Del Norte,4/3/23,EA H5N1 -  - ,0,1,2
"CA, El Dorado",06017,California,El Dorado,9/30/22,EA H5N1 -  - ,0,1,7
"CA, Fresno",06019,California,Fresno,1/12/23,EA H5N1 -  - ,0,1,47
"CA, Glenn",06021,California,Glenn,11/28/23,EA/AM H5N1 -  - ,0,1,24
"CA, Humboldt",06023,California,Humboldt,1/13/23,EA H5N1 -  - ,0,1,9
"CA, Imperial",06025,California,Imperial,2/10/23,EA/AM H5N1 -  - ,0,1,7
"CA, Inyo",06027,California,Inyo,12/13/23,EA/AM H5N1 -  - ,0,1,1
"CA, Kern",06029,California,Kern,12/12/22,EA H5N1 -  - ,0,1,14
"CA, Lassen",06035,California,Lassen,2/24/23,EA/AM H5N1 -  - ,0,1,7
"CA, Los Angeles",06037,California,Los Angeles,12/23/24,EA H5 -  - ,0,1,42
"CA, Marin",06041,California,Marin,1/30/24,EA/AM H5N1 -  - ,0,1,15
"CA, Mariposa",06043,California,Mariposa,4/9/24,EA/AM H5N1 -  - ,0,1,1
"CA, Mendocino",06045,California,Mendocino,1/12/23,EA/AM H5N1 -  - ,0,1,5
"CA, Merced",06047,California,Merced,1/30/24,EA/AM H5N1 -  - ,0,1,28
"CA, Monterey",06053,California,Monterey,10/25/22,EA/AM H5N1 -  - ,0,1,27
"CA, Napa",06055,California,Napa,10/19/22,EA/AM H5N1 -  - ,0,1,7
"CA, Nevada",06057,California,Nevada,9/20/24,EA H5N1 -  - ,0,1,1
"CA, Orange",06059,California,Orange,10/19/22,EA H5N1 -  - ,0,1,13
"CA, Placer",06061,California,Placer,1/9/23,EA H5N1 -  - ,0,1,4
"CA, Plumas",06063,California,Plumas,8/5/22,EA/AM H5N1 -  - ,0,1,2
"CA, Riverside",06065,California,Riverside,10/25/22,EA H5 -  - ,0,1,6
"CA, Sacramento",06067,California,Sacramento,2/10/23,EA/AM H5N1 -  - ,0,1,15
"CA, San Benito",06069,California,San Benito,10/19/22,EA/AM H5N1 -  - ,0,1,1
"CA, San Bernardino",06071,California,San Bernardino,11/9/22,EA H5N1 -  - ,0,1,2
"CA, San Diego",06073,California,San Diego,1/9/23,EA/AM H5N1 -  - ,0,1,35
"CA, San Francisco",06075,California,San Francisco,9/16/22,EA/AM H5N1 -  - ,0,1,13
"CA, San Joaquin",06077,California,San Joaquin,1/13/23,EA H5N1 -  - ,0,1,12
"CA, San Luis Obispo",06079,California,San Luis Obispo,12/13/22,EA/AM H5N1 -  - ,0,1,22
"CA, San Mateo",06081,California,San Mateo,1/26/23,EA H5N1 -  - ,0,1,20
"CA, Santa Barbara",06083,California,Santa Barbara,2/10/23,EA/AM H5N1 -  - ,0,1,3
"CA, Santa Clara",06085,California,Santa Clara,7/25/24,EA/AM H5N1 -  - ,0,1,28
"CA, Santa Cruz",06087,California,Santa Cruz,4/20/23,EA H5N1 -  - ,0,1,5
"CA, Shasta",06089,California,Shasta,1/26/23,EA H5N1 -  - ,0,1,2
"CA, Siskiyou",06093,California,Siskiyou,1/25/24,EA/AM H5N1 -  - ,0,1,17
"CA, Solano",06095,California,Solano,3/1/24,EA/AM H5N1 -  - ,0,1,32
"CA, Sonoma",06097,California,Sonoma,7/28/22,EA/AM H5N1 -  - ,0,1,23
"CA, Stanislaus",06099,California,Stanislaus,8/17/22,EA H5N1 -  - ,0,1,7
"CA, Sutter",06101,California,Sutter,1/13/23,EA/AM H5N1 -  - ,0,1,3
"CA, Trinity",06105,California,Trinity,9/8/22,EA H5N1 -  - ,0,1,1
"CA, Tulare",06107,California,Tulare,10/3/24,EA H5N1 -  - ,0,1,12
"CA, Ventura",06111,California,Ventura,1/17/23,EA/AM H5N1 -  - ,0,1,9
"CA, Yolo",06113,California,Yolo,2/9/24,EA H5N1 -  - ,0,1,115
"CA, Yuba",06115,California,Yuba,3/2/23,EA/AM H5N1 -  - ,0,1,5
"CO, Adams",08001,Colorado,Adams,1/25/24,EA H5 -  - ,1,1,10
"CO, Alamosa",08003,Colorado,Alamosa,10/12/23,EA/AM H5N1 -  - ,0,1,19
"CO, Arapahoe",08005,Colorado,Arapahoe,3/9/23,EA H5N1 -  - ,0,1,6
"CO, Baca",08009,Colorado,Baca,12/16/22,EA/AM H5N1 -  - ,0,1,1
"CO, Bent",08011,Colorado,Bent,8/28/24,EA/AM H5N1 -  - ,0,1,2
"CO, Boulder",08013,Colorado,Boulder,9/30/22,EA/AM H5N1 -  - ,0,1,40
"CO, Broomfield",08014,Colorado,Broomfield,12/20/22,EA/AM H5N1 -  - ,0,1,2
"CO, Crowley",08025,Colorado,Crowley,2/3/23,EA/AM H5N1 -  - ,0,1,1
"CO, Delta",08029,Colorado,Delta,1/19/23,EA H5N1 -  - ,0,1,1
"CO, Denver",08031,Colorado,Denver,12/2/23,EA/AM H5N1 -  - ,0,1,41
"CO, Douglas",08035,Colorado,Douglas,1/4/23,EA H5N1 -  - ,0,1,11
"CO, El Paso",08041,Colorado,El Paso,4/6/22,EA H5N1 -  - ,0,1,9
"CO, Grand",08049,Colorado,Grand,5/4/22,EA H5N1 -  - ,0,1,2
"CO, Gunnison",08051,Colorado,Gunnison,11/14/23,EA H5N1 -  - ,0,1,1
"CO, Jackson",08057,Colorado,Jackson,5/12/22,EA H5N1 -  - ,0,1,2
"CO, Jefferson",08059,Colorado,Jefferson,5/23/22,EA H5N1 -  - ,0,1,6
"CO, Kiowa",08061,Colorado,Kiowa,1/19/23,EA H5N1 -  - ,0,1,1
"CO, La Plata",08067,Colorado,La Plata,10/28/22,EA H5N1 -  - ,0,1,1
"CO, Larimer",08069,Colorado,Larimer,2/8/23,EA H5N1 -  - ,0,1,78
"CO, Las Animas",08071,Colorado,Las Animas,2/15/23,EA H5N1 -  - ,0,1,3
"CO, Logan",08075,Colorado,Logan,1/18/23,EA H5N1 -  - ,0,1,17
"CO, Mesa",08077,Colorado,Mesa,5/18/22,EA H5N1 -  - ,0,1,7
"CO, Moffat",08081,Colorado,Moffat,3/13/23,EA H5N1 -  - ,0,1,2
"CO, Montezuma",08083,Colorado,Montezuma,6/16/22,EA/AM H5N1 -  - ,0,1,1
"CO, Montrose",08085,Colorado,Montrose,2/10/23,EA H5N1 -  - ,0,1,2
"CO, Morgan",08087,Colorado,Morgan,4/1/22,EA/AM H5N1 -  - ,0,1,7
"CO, Otero",08089,Colorado,Otero,12/16/22,EA/AM H5N1 -  - ,0,1,1
"CO, Prowers",08099,Colorado,Prowers,12/8/22,EA H5N1 -  - ,0,1,6
"CO, Pueblo",08101,Colorado,Pueblo,1/10/23,EA H5N1 -  - ,0,1,4
"CO, Rio Blanco",08103,Colorado,Rio Blanco,8/28/24,EA H5N1 -  - ,0,1,1
"CO, Rio Grande",08105,Colorado,Rio Grande,12/15/22,EA/AM H5N1 -  - ,0,1,6
"CO, Routt",08107,Colorado,Routt,4/26/22,EA H5 -  - ,0,1,1
"CO, Saguache",08109,Colorado,Saguache,10/16/23,EA/AM H5N1 -  - ,0,1,9
"CO, Sedgwick",08115,Colorado,Sedgwick,12/10/24,EA H5 -  - ,0,1,11
"CO, Weld",08123,Colorado,Weld,7/22/24,EA H5N1 -  - ,0,1,64
"CO, Yuma",08125,Colorado,Yuma,1/18/23,EA H5N1 -  - ,0,1,2
"CT, Fairfield",09001,Connecticut,Fairfield,1/31/25,EA H5 -  - ,1,1,1
"CT, Hartford",09003,Connecticut,Hartford,9/6/23,EA/AM H5N1 -  - ,0,1,10
"CT, Litchfield",09005,Connecticut,Litchfield,3/30/23,EA/AM H5N1 -  - ,0,1,1
"CT, Middlesex",09007,Connecticut,Middlesex,2/16/22,EA H5 -  - ,0,1,27
"CT, New Haven",09009,Connecticut,New Haven,2/23/22,EA H5N1 -  - ,0,1,20
"CT, New London",09011,Connecticut,New London,2/15/23,EA/AM H5N1 -  - ,0,1,8
"CT, Tolland",09013,Connecticut,Tolland,10/26/22,EA/AM H5N1 -  - ,0,1,1
"DE, Kent",10001,Delaware,Kent,1/27/25,EA H5N1 -  - ,1,1,21
"DE, New Castle",10003,Delaware,New Castle,1/5/24,EA H5N1 -  - ,0,1,2
"DC, Washington",11001,DC,District of Columbia,6/3/22,EA/AM H5N1 -  - ,1,1,3
"FL, Alachua",12001,Florida,Alachua,9/15/22,EA/AM H5N1 -  - ,1,1,8
"FL, Brevard",12009,Florida,Brevard,11/5/24,EA/AM H5N1 -  - ,0,1,380
"FL, Broward",12011,Florida,Broward,11/21/22,EA/AM H5N1 -  - ,0,1,9
"FL, Charlotte",12015,Florida,Charlotte,3/18/22,EA/AM H5N1 -  - ,0,1,4
"FL, Citrus",12017,Florida,Citrus,4/8/22,EA/AM H5N1 -  - ,0,1,6
"FL, Clay",12019,Florida,Clay,4/12/22,EA/AM H5N1 -  - ,0,1,4
"FL, Collier",12021,Florida,Collier,4/28/22,EA/AM H5N1 -  - ,0,1,5
"FL, Columbia",12023,Florida,Columbia,5/9/22,EA/AM H5N1 -  - ,0,1,2
"FL, Dixie",12029,Florida,Dixie,3/27/22,EA/AM H5N1 -  - ,0,1,6
"FL, Duval",12031,Florida,Duval,4/26/22,EA H5N1 -  - ,0,1,25
"FL, Flagler",12035,Florida,Flagler,9/15/22,EA/AM H5N1 -  - ,0,1,2
"FL, Hillsborough",12057,Florida,Hillsborough,5/27/22,EA H5N1 -  - ,0,1,6
"FL, Indian River",12061,Florida,Indian River,1/27/23,EA/AM H5N1 -  - ,0,1,5
"FL, Jackson",12063,Florida,Jackson,11/10/22,EA/AM H5N1 -  - ,0,1,2
"FL, Lake",12069,Florida,Lake,12/10/24,EA H5N1 -  - ,0,1,12
"FL, Lee",12071,Florida,Lee,1/30/24,EA H5N1 -  - ,0,1,2
"FL, Leon",12073,Florida,Leon,2/4/25,EA H5N1 -  - ,0,1,8
"FL, Levy",12075,Florida,Levy,12/20/22,EA/AM H5N1 -  - ,0,1,2
"FL, Madison",12079,Florida,Madison,10/27/22,EA/AM H5N1 -  - ,0,1,1
"FL, Manatee",12081,Florida,Manatee,4/28/22,EA/AM H5N1 -  - ,0,1,2
"FL, Marion",12083,Florida,Marion,8/30/24,EA/AM H5N1 -  - ,0,1,3
"FL, Martin",12085,Florida,Martin,5/5/22,EA/AM H5N1 -  - ,0,1,2
"FL, Miami-Dade",12086,Florida,Miami-Dade,4/12/22,EA H5 -  - ,0,1,2
"FL, Monroe",12087,Florida,Monroe,1/25/24,EA H5N1 -  - ,0,1,1
"FL, Okaloosa",12091,Florida,Okaloosa,5/5/22,EA H5 -  - ,0,1,1
"FL, Orange",12095,Florida,Orange,8/15/22,EA H5N1 -  - ,0,1,51
"FL, Osceola",12097,Florida,Osceola,10/19/22,EA H5N1 -  - ,0,1,4
"FL, Palm Beach",12099,Florida,Palm Beach,11/3/22,EA/AM H5N1 -  - ,0,1,40
"FL, Pasco",12101,Florida,Pasco,4/12/22,EA/AM H5N1 -  - ,0,1,3
"FL, Pinellas",12103,Florida,Pinellas,6/29/22,EA/AM H5N1 -  - ,0,1,6
"FL, Polk",12105,Florida,Polk,3/18/22,EA H5N1 -  - ,0,1,4
"FL, Putnam",12107,Florida,Putnam,9/8/22,EA H5N1 -  - ,0,1,1
"FL, St Johns",12109,Florida,St. Johns,12/19/24,EA H5 -  - ,0,1,83
"FL, Sarasota",12115,Florida,Sarasota,11/21/22,EA/AM H5N1 -  - ,0,1,2
"FL, Seminole",12117,Florida,Seminole,8/1/22,EA H5N1 -  - ,0,1,7
"FL, Sumter",12119,Florida,Sumter,4/26/22,EA H5N1 -  - ,0,1,3
"FL, Suwannee",12121,Florida,Suwannee,5/12/22,EA/AM H5N1 -  - ,0,1,4
"FL, Volusia",12127,Florida,Volusia,11/26/23,EA H5N1 -  - ,0,1,25
"FL, Wakulla",12129,Florida,Wakulla,11/10/22,EA/AM H5N1 -  - ,0,1,2
"GA, Barrow",13013,Georgia,Barrow,11/28/22,EA/AM H5N1 -  - ,1,1,2
"GA, Butts",13035,Georgia,Butts,9/15/22,EA/AM H5N1 -  - ,0,1,2
"GA, Calhoun",13037,Georgia,Calhoun,4/13/23,EA/AM H5N1 -  - ,0,1,1
"GA, Camden",13039,Georgia,Camden,3/4/22,EA/AM H5N1 -  - ,0,1,5
"GA, Chatham",13051,Georgia,Chatham,3/28/22,EA/AM H5N1 -  - ,0,1,2
"GA, Cherokee",13057,Georgia,Cherokee,9/30/22,EA/AM H5N1 -  - ,0,1,1
"GA, Clarke",13059,Georgia,Clarke,12/2/23,EA H5N1 -  - ,0,1,5
"GA, Clayton",13063,Georgia,Clayton,9/15/22,EA/AM H5N1 -  - ,0,1,4
"GA, Columbia",13073,Georgia,Columbia,9/15/22,EA/AM H5N1 -  - ,0,1,1
"GA, De Kalb",13089,Georgia,DeKalb,9/29/22,EA H5N1 -  - ,0,1,4
"GA, Dougherty",13095,Georgia,Dougherty,7/8/22,EA/AM H5N1 -  - ,0,1,1
"GA, Emanuel",13107,Georgia,Emanuel,1/25/24,EA/AM H5N1 -  - ,0,1,1
"GA, Forsyth",13117,Georgia,Forsyth,9/9/22,EA H5N1 -  - ,0,1,4
"GA, Franklin",13119,Georgia,Franklin,11/28/22,EA/AM H5N1 -  - ,0,1,1
"GA, Glynn",13127,Georgia,Glynn,3/4/22,EA/AM H5N1 -  - ,0,1,2
"GA, Greene",13133,Georgia,Greene,11/17/22,EA H5N1 -  - ,0,1,2
"GA, Gwinnett",13135,Georgia,Gwinnett,10/17/22,EA H5 -  - ,0,1,2
"GA, Harris",13145,Georgia,Harris,10/27/23,EA/AM H5N1 -  - ,0,1,2
"GA, Hart",13147,Georgia,Hart,10/11/22,EA H5N1 -  - ,0,1,5
"GA, Henry",13151,Georgia,Henry,8/26/22,EA H5N1 -  - ,0,1,6
